date,station_id,station_name,kecamatan,longitude,latitude,elevation_m,rainfall_mm
2020-01-01,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,39.4
2020-01-01,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,33.9
2020-01-01,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,37.1
2020-01-01,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,34.3
2020-01-02,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,5.4
2020-01-02,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,6.5
2020-01-02,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,6.2
2020-01-02,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,8.5
2020-01-02,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,6.1
2020-01-02,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,6.4
2020-01-02,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,6.0
2020-01-02,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,5.1
2020-01-02,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,6.7
2020-01-02,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,6.3
2020-01-02,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,6.7
2020-01-02,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,6.2
2020-01-02,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,7.6
2020-01-02,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,6.4
2020-01-02,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,7.3
2020-01-02,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,8.4
2020-01-02,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,5.3
2020-01-02,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,5.8
2020-01-02,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,6.7
2020-01-02,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,5.6
2020-01-02,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,5.3
2020-01-02,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,6.0
2020-01-02,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,5.2
2020-01-02,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,6.2
2020-01-02,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,5.1
2020-01-02,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,6.9
2020-01-02,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,5.3
2020-01-02,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,5.8
2020-01-02,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,7.2
2020-01-02,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,5.4
2020-01-03,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,0.0
2020-01-03,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,0.0
2020-01-03,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,0.0
2020-01-03,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,0.0
2020-01-03,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,0.4
2020-01-03,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,0.0
2020-01-03,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,0.0
2020-01-03,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,0.0
2020-01-03,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,0.0
2020-01-03,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,0.0
2020-01-03,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,0.0
2020-01-03,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,0.0
2020-01-03,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,0.0
2020-01-03,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,0.0
2020-01-03,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,0.1
2020-01-03,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,0.0
2020-01-03,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,0.0
2020-01-03,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,0.1
2020-01-03,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,0.0
2020-01-03,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,0.1
2020-01-03,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,0.0
2020-01-03,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,0.0
2020-01-03,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,0.0
2020-01-03,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,0.0
2020-01-03,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,0.0
2020-01-03,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,0.0
2020-01-03,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,0.0
2020-01-03,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,0.0
2020-01-03,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,0.0
2020-01-03,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,0.0
2020-01-04,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,8.7
2020-01-04,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,9.1
2020-01-04,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,6.7
2020-01-04,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,6.7
2020-01-04,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,6.3
2020-01-04,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,6.2
2020-01-04,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,6.7
2020-01-04,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,7.0
2020-01-04,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,6.9
2020-01-04,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,7.1
2020-01-04,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,6.9
2020-01-04,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,9.2
2020-01-04,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,7.1
2020-01-04,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,11.4
2020-01-04,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,8.2
2020-01-04,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,6.7
2020-01-04,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,5.9
2020-01-04,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,7.4
2020-01-04,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,7.2
2020-01-04,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,7.2
2020-01-04,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,7.8
2020-01-04,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,6.6
2020-01-04,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,6.0
2020-01-04,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,5.4
2020-01-04,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,6.2
2020-01-04,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,7.3
2020-01-04,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,6.8
2020-01-04,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,5.8
2020-01-04,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,7.6
2020-01-04,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,7.4
2020-01-05,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,11.2
2020-01-05,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,11.9
2020-01-05,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,10.9
2020-01-05,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,10.0
2020-01-05,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,11.7
2020-01-05,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,11.6
2020-01-05,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,12.1
2020-01-05,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,11.9
2020-01-05,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,8.7
2020-01-05,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,9.1
2020-01-05,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,11.6
2020-01-05,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,13.1
2020-01-05,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,12.2
2020-01-05,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,19.8
2020-01-05,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,12.9
2020-01-05,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,13.4
2020-01-05,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,11.8
2020-01-05,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,11.9
2020-01-05,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,11.3
2020-01-05,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,11.5
2020-01-05,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,10.5
2020-01-05,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,10.2
2020-01-05,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,9.9
2020-01-05,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,10.5
2020-01-05,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,13.1
2020-01-05,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,8.1
2020-01-05,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,11.3
2020-01-05,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,8.7
2020-01-05,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,11.0
2020-01-05,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,12.7
2020-01-06,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,0.3
2020-01-06,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,0.0
2020-01-06,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,0.0
2020-01-06,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,0.0
2020-01-06,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,0.1
2020-01-06,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,0.0
2020-01-06,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,0.0
2020-01-06,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,0.0
2020-01-06,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,0.0
2020-01-06,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,0.0
2020-01-06,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,0.0
2020-01-06,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,0.0
2020-01-06,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,0.0
2020-01-06,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,0.0
2020-01-06,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,0.0
2020-01-06,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,0.1
2020-01-06,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,0.0
2020-01-06,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,0.0
2020-01-06,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,0.0
2020-01-06,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,0.0
2020-01-06,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,0.0
2020-01-06,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,0.0
2020-01-06,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,0.0
2020-01-06,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,0.0
2020-01-06,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,0.0
2020-01-06,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,0.0
2020-01-06,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,0.0
2020-01-06,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,0.0
2020-01-06,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,0.0
2020-01-06,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,0.0
2020-01-07,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,46.2
2020-01-07,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,62.5
2020-01-07,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,43.4
2020-01-07,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,43.0
2020-01-07,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,47.6
2020-01-07,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,58.6
2020-01-07,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,46.8
2020-01-07,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,41.3
2020-01-07,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,38.8
2020-01-07,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,44.4
2020-01-07,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,36.5
2020-01-07,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,45.8
2020-01-07,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,59.8
2020-01-07,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,69.0
2020-01-07,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,52.3
2020-01-07,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,48.7
2020-01-07,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,46.9
2020-01-07,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,62.1
2020-01-07,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,53.9
2020-01-07,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,51.2
2020-01-07,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,49.6
2020-01-07,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,46.4
2020-01-07,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,49.7
2020-01-07,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,46.3
2020-01-07,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,34.8
2020-01-07,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,52.6
2020-01-07,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,42.4
2020-01-07,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,59.3
2020-01-07,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,55.5
2020-01-07,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,49.7
2020-01-08,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,33.3
2020-01-08,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,29.1
2020-01-08,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,25.8
2020-01-08,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,30.0
2020-01-08,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,31.3
2020-01-08,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,26.0
2020-01-08,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,25.0
2020-01-08,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,25.7
2020-01-08,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,29.5
2020-01-08,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,30.4
2020-01-08,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,28.8
2020-01-08,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,33.4
2020-01-08,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,26.9
2020-01-08,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,37.9
2020-01-08,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,32.7
2020-01-08,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,27.2
2020-01-08,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,21.1
2020-01-08,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,23.8
2020-01-08,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,27.2
2020-01-08,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,30.3
2020-01-08,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,34.7
2020-01-08,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,25.1
2020-01-08,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,25.3
2020-01-08,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,27.1
2020-01-08,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,26.0
2020-01-08,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,29.2
2020-01-08,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,24.7
2020-01-08,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,30.4
2020-01-08,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,28.7
2020-01-08,ST_30,Pos Hujan Alian Perbukitan,Alian,109.68851,-7.63141,69.0,31.3
2020-01-09,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,0.4
2020-01-09,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,0.2
2020-01-09,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,0.0
2020-01-09,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,0.0
2020-01-09,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,0.0
2020-01-09,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,0.0
2020-01-09,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,0.0
2020-01-09,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,0.0
2020-01-09,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,0.0
2020-01-09,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,0.0
2020-01-09,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,0.0
2020-01-09,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,0.0
2020-01-09,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,0.0
2020-01-09,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,0.2
2020-01-09,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,0.3
2020-01-09,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,0.0
2020-01-09,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,0.0
2020-01-09,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,0.0
2020-01-09,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,0.1
2020-01-09,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,0.0
2020-01-09,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,0.0
2020-01-09,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,0.1
2020-01-09,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,0.0
2020-01-09,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,0.3
2020-01-09,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,0.0
2020-01-09,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,0.1
2020-01-09,ST_27,Pos Hujan Buluspesantren,Buluspesantren,109.7032,-7.74437,9.0,0.0
2020-01-09,ST_28,Pos Hujan Adimulyo,Adimulyo,109.57791,-7.67035,18.0,0.0
2020-01-09,ST_29,Pos Hujan Sempor Lereng Barat,Sempor,109.51496,-7.56868,103.0,0.0
